Movie_Name,Release_year,Runtime,Genre,Rating,Metascore,Votes
Outside the Wire,2021,114,"Action, Adventure, Fantasy            ",5.4,45,20371
Promising Young Woman,2020,113,"Crime, Drama, Thriller            ",7.5,72,19459
One Night in Miami,2020,114,Drama            ,7.3,83,8365
Soul,2020,100,"Animation, Adventure, Comedy            ",8.1,83,150911
Neues aus der Welt,2020,118,"Action, Adventure, Drama            ",6.9,73,10049
Wonder Woman 1984,2020,151,"Action, Adventure, Fantasy            ",5.4,60,144016
Tenet,2020,150,"Action, Sci-Fi, Thriller            ",7.5,69,278068
Run Hide Fight,2020,109,"Action, Thriller            ",6.7,13,8237
Pieces of a Woman,2020,126,Drama            ,7.1,66,18673
Locked Down,2021,118,"Comedy, Crime, Romance            ",5.0,43,3667
Der weiße Tiger,2021,125,"Crime, Drama            ",7.2,77,9960
Karate Kid,1984,126,"Action, Drama, Family            ",7.3,60,194840
The Marksman,2021,108,"Action, Thriller            ",6.1,44,836
We Can Be Heroes,2020,100,"Action, Comedy, Drama            ",4.7,51,8711
Synchronic,2019,102,"Drama, Horror, Sci-Fi            ",6.2,63,5993
The King of Staten Island,2020,136,"Comedy, Drama            ",7.1,67,35788
Avengers: Endgame,2019,181,"Action, Adventure, Drama            ",8.4,78,807080
The Midnight Sky,2020,118,"Drama, Fantasy, Sci-Fi            ",5.6,58,61237
Nomadland,2020,108,Drama            ,7.6,96,9330
The Friend,2019,124,Drama            ,7.2,56,904
I Care a Lot,2020,118,"Comedy, Crime, Thriller            ",6.9,67,160
Der Rausch,2020,117,"Comedy, Drama            ",7.8,81,31793
Blithe Spirit,2020,95,"Comedy, Fantasy, Romance            ",5.3,20,865
Sound of Metal,2019,120,"Drama, Music            ",7.8,81,25162
The Gentlemen,2019,113,"Action, Comedy, Crime            ",7.8,51,235312
Parasite,2019,132,"Comedy, Drama, Thriller            ",8.6,96,549309
The Wolf of Wall Street,2013,180,"Biography, Crime, Drama            ",8.2,75,1184927
Knives Out: Ein Mord zum Dessert,2019,130,"Comedy, Crime, Drama            ",7.9,82,451507
Shadow in the Cloud,2020,83,"Action, Horror, War            ",4.7,66,9247
Die Verurteilten,1994,142,Drama            ,9.3,80,2340232
Once Upon a Time In... Hollywood,2019,161,"Comedy, Drama            ",7.6,83,549292
What Happened to Monday?,2017,123,"Action, Adventure, Crime            ",6.9,47,104973
Mulan,2020,115,"Action, Adventure, Drama            ",5.6,66,106471
The Trial of the Chicago 7,2020,129,"Drama, History, Thriller            ",7.8,77,87851
Songbird,2020,84,"Drama, Sci-Fi, Thriller            ",4.5,27,3535
Harry Potter und der Stein der Weisen,2001,152,"Adventure, Family, Fantasy            ",7.6,64,657212
Wonder Woman,2017,141,"Action, Adventure, Fantasy            ",7.4,76,567330
Der Pate,1972,175,"Crime, Drama            ",9.2,100,1618450
Karate Kid III - Die letzte Entscheidung,1989,112,"Action, Drama, Family            ",5.3,36,53707
Der Herr der Ringe: Die Gefährten,2001,178,"Action, Adventure, Drama            ",8.8,92,1659746
1917,2019,119,"Drama, Thriller, War            ",8.3,78,423571
Monster Hunter,2020,99,"Action, Adventure, Fantasy            ",5.3,44,4017
The Devil All the Time,2020,138,"Crime, Drama, Thriller            ",7.1,55,89722
Greenland,2020,119,"Action, Drama, Thriller            ",6.4,61,45678
American Skin,2019,89,Drama            ,5.9,24,1612
Ich glaub' ich steh' im Wald,1982,90,"Comedy, Drama            ",7.2,61,94401
